Name,Definition,Type,MyDefinition,OnlineDefinition,Source,,,,
Administration,mydefinition,Policy,,,,,,,
Administration - Non-Pay,mydefinition,Policy,,,,,,,
Local Authority Housing,mydefinition,Policy,,,,,,,
Social Housing Current Expenditure Programme,mydefinition,Policy,,Supports the delivery of social housing by providing financial support to local authorities and Approved Housing Bodies for the leasing of houses and apartments. These properties are either privately owned or owned by Approved Housing Bodies. Properties made available under the programme are used to accommodate households from local authority waiting lists.,https://www.gov.ie/en/collection/6060e-overall-social-housing-provision/#social-housing-current-expenditure-programme-shcep,,,,
Rental Accommodation Scheme,mydefinition,Policy,Long term rent supplement paid by local authorities to the landlord. Will eventually be replaced by HAP.,"Under this scheme local authorities make a monthly rental payment on the tenant's behalf to their landlord, subject to terms and conditions, including rent limits. In return, the tenant pays a weekly contribution towards the rent to the local authority",https://www.citizensinformation.ie/en/housing/local-authority-and-social-housing/rental-accommodation-scheme/,,,,
Housing Assistance Payment Scheme,mydefinition,Policy,Long term rent supplement paid by local authorities to the landlord. ,"Under this scheme local authorities make a monthly rental payment on the tenant's behalf to their landlord, subject to terms and conditions, including rent limits. In return, the tenant pays a weekly contribution towards the rent to the local authority",https://www.hap.ie/whatishap/,,,,
Capital Assistance Scheme,mydefinition,Policy,"Capital funding for construction/acquistion of social housing for priority groups (elderly people, homeless, people with disabilities).","Provides a capital funding mechanism through the local authority to AHBs, for the delivery of accommodation, either by construction or acquisition, for priority groups such as elderly people, homeless persons, and people with disabilities",https://assets.gov.ie/244383/bdbb6d9c-250c-4a8e-b26d-8690e3285ae0.pdf,,,,
Capital Loans & Subsidy Scheme,mydefinition,Policy,,Provides mortgage finance to AHBs by way of loans from the local authorities,https://www.gov.ie/en/collection/6060e-overall-social-housing-provision/#capital-loan-subsidy-scheme-clss,,,,
Communal Facilities,mydefinition,Policy,,,,,,,
Mortgage to Rent,mydefinition,Policy,Allows homeowners who can't afford their mortgage arrears to give up ownership of their house and instead pay an affordable rent based on their income.,"Under this scheme, the borrower voluntarily gives up ownership of their home to their mortgage lender. The borrower no longer owns their home but continues to live there as a tenant of the local authority or approved housing body. They pay an affordable rent based on their income.",https://www.gov.ie/en/collection/6060e-overall-social-housing-provision/#repair-and-leasing-scheme-rls,,,,
Capital Advance Leasing Facility,mydefinition,Policy,Provides funds for the purchasing of private/HFA loans for the construction/acquisition of social housing by AHBs,"The purpose of a capital advance towards a capital project, is to enable the AHBs to secure the remaining finance either by way of loan (from commercial banks or the HFA) or from their own resources",https://assets.gov.ie/244383/bdbb6d9c-250c-4a8e-b26d-8690e3285ae0.pdf,,or ,provides access to private or Housing Finance Agency (HFA) loan finance for the purchase or construction of property that will be made available for Social Housing by an Approved Housing Bodies (AHBs),https://www.sdcc.ie/en/services/housing/calf-capital-advance-leasing-facility/
Traveller Accomodation & Support,mydefinition,Policy,Funding for Traveller specific accommodation.,,,,,,
Accomodation for Homeless,mydefinition,Policy,,,,,,,
Housing for People with a Disability & Older People,mydefinition,Policy,,?,https://www.gov.ie/en/service/6636c-housing-adaptation-grants-for-older-people-and-people-with-a-disability/,,,,
