Policy,Party,Cost,Status,Current,Capital,Groupings,Notes
Administration,Fianna Fáil Fine Gael Green Party,25461000,Existing,25461000,0,Other,
Administration,Sinn Féin,25461000,Existing,25461000,0,Other,
Administration,Labour,25461000,Existing,25461000,0,Other,
Administration,Social Democrats,25461000,Existing,25461000,0,Other,
Administration,People Before Profit,25461000,Existing,25461000,0,Other,
Administration - Non-Pay,Fianna Fáil Fine Gael Green Party,4838000,Existing,3737000,1101000,Other,
Administration - Non-Pay,Sinn Féin,4838000,Existing,3737000,1101000,Other,
Administration - Non-Pay,Labour,4838000,Existing,3737000,1101000,Other,"actually i think they just want to significantly reduce hap, but not get rid of it"
Administration - Non-Pay,Social Democrats,4838000,Existing,3737000,1101000,Other,
Administration - Non-Pay,People Before Profit,4838000,Existing,3737000,1101000,Other,
Local Authority Housing,Fianna Fáil Fine Gael Green Party,1331000000,Existing,0,1331000000,New social housing,croi conaithe is actually a private developer subsidy i think
Local Authority Housing,Sinn Féin,2438800000,Existing,0,2438800000,New social housing,
Local Authority Housing,Labour,2725000000,Existing,0,2275000000,New social housing,
Local Authority Housing,Social Democrats,2551600000,Existing,0,2551600000,New social housing,
Local Authority Housing,People Before Profit,4959000000,Existing,0,4959000000,New social housing,
Social Housing Current Expenditure Programme,Fianna Fáil Fine Gael Green Party,458000000,Existing,458000000,0,Cost rental / Affordable purchase,
Social Housing Current Expenditure Programme,Sinn Féin,458000000,Existing,458000000,0,Cost rental / Affordable purchase,
Social Housing Current Expenditure Programme,Labour,458000000,Existing,458000000,0,Cost rental / Affordable purchase,
Social Housing Current Expenditure Programme,Social Democrats,458000000,Existing,458000000,0,Cost rental / Affordable purchase,
Social Housing Current Expenditure Programme,People Before Profit,458000000,Existing,458000000,0,Cost rental / Affordable purchase,
Rental Accommodation Scheme,Fianna Fáil Fine Gael Green Party,111000000,Planned for reduction,111000000,0,Private housing subsidies,
Rental Accommodation Scheme,Sinn Féin,111000000,Planned for reduction,111000000,0,Private housing subsidies,
Rental Accommodation Scheme,Labour,111000000,Planned for reduction,111000000,0,Private housing subsidies,
Rental Accommodation Scheme,Social Democrats,111000000,Planned for reduction,111000000,0,Private housing subsidies,
Rental Accommodation Scheme,People Before Profit,111000000,Planned for reduction,111000000,0,Private housing subsidies,
Housing Assistance Payment Scheme,Fianna Fáil Fine Gael Green Party,525000000,Planned for reduction,525000000,0,Private housing subsidies,
Housing Assistance Payment Scheme,Sinn Féin,525000000,Planned for reduction,525000000,0,Private housing subsidies,
Housing Assistance Payment Scheme,Labour,525000000,Planned for reduction,535000000,0,Private housing subsidies,
Housing Assistance Payment Scheme,Social Democrats,525000000,Planned for reduction,525000000,0,Private housing subsidies,
Housing Assistance Payment Scheme,People Before Profit,601500000,Planned for reduction,601500000,0,Private housing subsidies,
Capital Assistance Scheme,Fianna Fáil Fine Gael Green Party,140000000,Existing,0,140000000,New social housing,
Capital Assistance Scheme,Sinn Féin,140000000,Existing,0,140000000,New social housing,
Capital Assistance Scheme,Labour,140000000,Existing,0,140000000,New social housing,
Capital Assistance Scheme,Social Democrats,140000000,Existing,0,140000000,New social housing,
Capital Assistance Scheme,People Before Profit,140000000,Existing,0,140000000,New social housing,
Capital Loans & Subsidy Scheme,Fianna Fáil Fine Gael Green Party,53900000,Existing,53900000,0,Cost rental / Affordable purchase,
Capital Loans & Subsidy Scheme,Sinn Féin,53900000,Existing,53900000,0,Cost rental / Affordable purchase,
Capital Loans & Subsidy Scheme,Labour,53900000,Existing,53900000,0,Cost rental / Affordable purchase,
Capital Loans & Subsidy Scheme,Social Democrats,53900000,Existing,53900000,0,Cost rental / Affordable purchase,
Capital Loans & Subsidy Scheme,People Before Profit,53900000,Existing,53900000,0,Cost rental / Affordable purchase,
Communal Facilities,Fianna Fáil Fine Gael Green Party,500000,Existing,0,500000,Other,
Communal Facilities,Sinn Féin,500000,Existing,0,500000,Other,
Communal Facilities,Labour,500000,Existing,0,500000,Other,
Communal Facilities,Social Democrats,500000,Existing,0,500000,Other,
Communal Facilities,People Before Profit,500000,Existing,0,500000,Other,
Mortgage to Rent,Fianna Fáil Fine Gael Green Party,18000000,Existing,0,18000000,Cost rental / Affordable purchase,
Mortgage to Rent,Sinn Féin,18000000,Existing,0,18000000,Cost rental / Affordable purchase,
Mortgage to Rent,Labour,18000000,Existing,0,18000000,Cost rental / Affordable purchase,
Mortgage to Rent,Social Democrats,18000000,Existing,0,18000000,Cost rental / Affordable purchase,
Mortgage to Rent,People Before Profit,18000000,Existing,0,18000000,Cost rental / Affordable purchase,
Capital Advance Leasing Facility,Fianna Fáil Fine Gael Green Party,315000000,Existing,0,315000000,New social housing,
Capital Advance Leasing Facility,Sinn Féin,315000000,Existing,0,315000000,New social housing,
Capital Advance Leasing Facility,Labour,315000000,Existing,0,315000000,New social housing,
Capital Advance Leasing Facility,Social Democrats,315000000,Existing,0,315000000,New social housing,
Capital Advance Leasing Facility,People Before Profit,315000000,Existing,0,315000000,New social housing,
Traveller Accomodation & Support,Fianna Fáil Fine Gael Green Party,28000000,Existing,7000000,21000000,Disadvantaged/vulnerable groups,
Traveller Accomodation & Support,Sinn Féin,38000000,Existing,7000000,31000000,Disadvantaged/vulnerable groups,
Traveller Accomodation & Support,Labour,28000000,Existing,7000000,21000000,Disadvantaged/vulnerable groups,
Traveller Accomodation & Support,Social Democrats,38000000,Existing,7000000,31000000,Disadvantaged/vulnerable groups,
Traveller Accomodation & Support,People Before Profit,38000000,Existing,7000000,21000000,Disadvantaged/vulnerable groups,
Accomodation for Homeless,Fianna Fáil Fine Gael Green Party,242000000,Existing,242000000,0,Disadvantaged/vulnerable groups,
Accomodation for Homeless,Sinn Féin,425300000,Existing,425300000,0,Disadvantaged/vulnerable groups,
Accomodation for Homeless,Labour,288000000,Existing,288000000,0,Disadvantaged/vulnerable groups,
Accomodation for Homeless,Social Democrats,242000000,Existing,242000000,0,Disadvantaged/vulnerable groups,
Accomodation for Homeless,People Before Profit,292000000,Existing,292000000,0,Disadvantaged/vulnerable groups,
Housing for People with a Disability & Older People,Fianna Fáil Fine Gael Green Party,3300000,Existing,2000000,1300000,Disadvantaged/vulnerable groups,
Housing for People with a Disability & Older People,Sinn Féin,3300000,Existing,2000000,1300000,Disadvantaged/vulnerable groups,
Housing for People with a Disability & Older People,Labour,3300000,Existing,2000000,1300000,Disadvantaged/vulnerable groups,
Housing for People with a Disability & Older People,Social Democrats,3300000,Existing,2000000,1300000,Disadvantaged/vulnerable groups,
Housing for People with a Disability & Older People,People Before Profit,3300000,Existing,2000000,1300000,Disadvantaged/vulnerable groups,
Estate Regeneration and Refurbishment,Fianna Fáil Fine Gael Green Party,50000000,Existing,0,50000000,New social housing,
Estate Regeneration and Refurbishment,Sinn Féin,100000000,Existing,0,100000000,New social housing,
Estate Regeneration and Refurbishment,Labour,50000000,Existing,0,50000000,New social housing,
Estate Regeneration and Refurbishment,Social Democrats,50000000,Existing,0,50000000,New social housing,
Estate Regeneration and Refurbishment,People Before Profit,50000000,Existing,0,50000000,New social housing,
Energy Efficiency - Retrofitting,Fianna Fáil Fine Gael Green Party,90000000,Existing,0,90000000,Environment,
Energy Efficiency - Retrofitting,Sinn Féin,133500000,Existing,0,133500000,Environment,
Energy Efficiency - Retrofitting,Labour,100000000,Existing,0,100000000,Environment,
Energy Efficiency - Retrofitting,Social Democrats,90000000,Existing,0,90000000,Environment,
Energy Efficiency - Retrofitting,People Before Profit,90000000,Existing,0,90000000,Environment,
Repair and Leasing Scheme,Fianna Fáil Fine Gael Green Party,12000000,Existing,0,12000000,Voids,
Repair and Leasing Scheme,Sinn Féin,12000000,Existing,0,12000000,Voids,
Repair and Leasing Scheme,Labour,12000000,Existing,0,12000000,Voids,
Repair and Leasing Scheme,Social Democrats,12000000,Existing,0,12000000,Voids,
Repair and Leasing Scheme,People Before Profit,12000000,Existing,0,12000000,Voids,
Private Housing Grants,Fianna Fáil Fine Gael Green Party,75000000,Existing,0,75000000,Disadvantaged/vulnerable groups,
Private Housing Grants,Sinn Féin,75000000,Existing,0,75000000,Disadvantaged/vulnerable groups,
Private Housing Grants,Labour,75000000,Existing,0,75000000,Disadvantaged/vulnerable groups,
Private Housing Grants,Social Democrats,75000000,Existing,0,75000000,Disadvantaged/vulnerable groups,
Private Housing Grants,People Before Profit,75000000,Existing,0,75000000,Disadvantaged/vulnerable groups,
Morgage Allowances,Fianna Fáil Fine Gael Green Party,500000,Existing,0,500000,Cost rental / Affordable purchase,
Morgage Allowances,Sinn Féin,500000,Existing,0,500000,Cost rental / Affordable purchase,
Morgage Allowances,Labour,500000,Existing,0,500000,Cost rental / Affordable purchase,
Morgage Allowances,Social Democrats,500000,Existing,0,500000,Cost rental / Affordable purchase,
Morgage Allowances,People Before Profit,500000,Existing,0,500000,Cost rental / Affordable purchase,
Affordable Housing/Shared Ownership Subsidy,Fianna Fáil Fine Gael Green Party,1800000,Existing,1800000,0,Cost rental / Affordable purchase,
Affordable Housing/Shared Ownership Subsidy,Sinn Féin,1800000,Existing,1800000,0,Cost rental / Affordable purchase,
Affordable Housing/Shared Ownership Subsidy,Labour,1800000,Existing,1800000,0,Cost rental / Affordable purchase,
Affordable Housing/Shared Ownership Subsidy,Social Democrats,1800000,Existing,1800000,0,Cost rental / Affordable purchase,
Affordable Housing/Shared Ownership Subsidy,People Before Profit,1800000,Existing,1800000,0,Cost rental / Affordable purchase,
Local Infrastructure Housing Activation Fund,Fianna Fáil Fine Gael Green Party,10000000,Existing,0,10000000,Other,
Local Infrastructure Housing Activation Fund,Sinn Féin,10000000,Existing,0,10000000,Other,
Local Infrastructure Housing Activation Fund,Labour,10000000,Existing,0,10000000,Other,
Local Infrastructure Housing Activation Fund,Social Democrats,10000000,Existing,0,10000000,Other,
Local Infrastructure Housing Activation Fund,People Before Profit,10000000,Existing,0,10000000,Other,
Defective Homes Remediation - Cash Limited,Fianna Fáil Fine Gael Green Party,70000000,Existing,0,70000000,Defects,
Defective Homes Remediation - Cash Limited,Sinn Féin,140000000,Existing,0,140000000,Defects,
